ENSG00000004478|ENSG00000004478.8|ENSP00000001008|ENSP00000001008.4,1.1540188587425637
ENSG00000117450|ENSG00000117450.15|ENSP00000361152|ENSP00000361152.5,1.121843032683781
ENSG00000185052|ENSG00000185052.13|ENSP00000333519|ENSP00000333519.5,1.090778066915108
ENSG00000032742|ENSG00000032742.18|ENSP00000323580|ENSP00000323580.6,1.1518304375103496
ENSG00000151748|ENSG00000151748.15|ENSP00000324729|ENSP00000324729.4,1.1387861375177004
ENSG00000100227|ENSG00000100227.19|ENSP00000343060|ENSP00000343060.6,1.0630527884508523
ENSG00000006128|ENSG00000006128.12|ENSP00000289574|ENSP00000289574.4,1.3752499186425176
ENSG00000177731|ENSG00000177731.16|ENSP00000324573|ENSP00000324573.4,1.3170498247456401
ENSG00000160310|ENSG00000160310.20|ENSP00000335490|ENSP00000335490.4,1.1430382750647292
ENSG00000182156|ENSG00000182156.10|ENSP00000332656|ENSP00000332656.5,1.36116088509482
ENSG00000174547|ENSG00000174547.13|ENSP00000329630|ENSP00000329630.4,1.1186613191563786
ENSG00000164796|ENSG00000164796.18|ENSP00000345799|ENSP00000345799.3,1.053970368591832
ENSG00000167272|ENSG00000167272.11|ENSP00000341791|ENSP00000341791.2,1.2331201040921607
ENSG00000187474|ENSG00000187474.5|ENSP00000341821|ENSP00000341821.3,1.1148735917269033
ENSG00000100697|ENSG00000100697.17|ENSP00000343745|ENSP00000343745.3,1.029005703916086
ENSG00000162039|ENSG00000162039.19|ENSP00000314484|ENSP00000314484.3,1.0867491875631596
ENSG00000157869|ENSG00000157869.16|ENSP00000340079|ENSP00000340079.4,1.1332878712825651
ENSG00000182601|ENSG00000182601.7|ENSP00000330606|ENSP00000330606.5,1.1006557756366706
ENSG00000079101|ENSG00000079101.18|ENSP00000341128|ENSP00000341128.6,1.1581706380061578
ENSG00000181036|ENSG00000181036.14|ENSP00000340949|ENSP00000340949.5,1.104316215679216
ENSG00000185669|ENSG00000185669.6|ENSP00000327968|ENSP00000327968.5,1.2890851664560805
ENSG00000166407|ENSG00000166407.14|ENSP00000338207|ENSP00000338207.3,1.5674863796708332
ENSG00000165300|ENSG00000165300.8|ENSP00000366283|ENSP00000366283.2,1.0498767763105663
ENSG00000185608|ENSG00000185608.9|ENSP00000333401|ENSP00000333401.3,1.1077691445442952
ENSG00000006744|ENSG00000006744.19|ENSP00000337445|ENSP00000337445.4,1.0367742301985496
ENSG00000162981|ENSG00000162981.14|ENSP00000330681|ENSP00000330681.4,1.4963430030689056
ENSG00000188763|ENSG00000188763.5|ENSP00000345785|ENSP00000345785.3,1.4716108913244959
ENSG00000151067|ENSG00000151067.23|ENSP00000341092|ENSP00000341092.3,1.1636741131749069
ENSG00000073008|ENSG00000073008.16|ENSP00000340870|ENSP00000340870.3,1.136716293212752
ENSG00000106331|ENSG00000106331.19|ENSP00000339906|ENSP00000339906.2,1.015539330392044
ENSG00000160131|ENSG00000160131.14|ENSP00000333255|ENSP00000333255.6,1.2098918389382656
ENSG00000141568|ENSG00000141568.21|ENSP00000335677|ENSP00000335677.5,1.019478658257874
ENSG00000182132|ENSG00000182132.15|ENSP00000329686|ENSP00000329686.4,1.2561655885166436
ENSG00000143815|ENSG00000143815.15|ENSP00000339883|ENSP00000339883.2,1.0083054829696867
ENSG00000116191|ENSG00000116191.19|ENSP00000313613|ENSP00000313613.5,1.1494399027366426
ENSG00000163126|ENSG00000163126.15|ENSP00000333108|ENSP00000333108.2,1.1954497022459087
ENSG00000104361|ENSG00000104361.10|ENSP00000339256|ENSP00000339256.3,1.030739118852828
ENSG00000123728|ENSG00000123728.10|ENSP00000340274|ENSP00000340274.2,1.1857309357617318
ENSG00000149577|ENSG00000149577.17|ENSP00000314023|ENSP00000314023.4,1.2212737623406686
ENSG00000189319|ENSG00000189319.14|ENSP00000338532|ENSP00000338532.3,1.1062415312882932
ENSG00000176476|ENSG00000176476.9|ENSP00000316114|ENSP00000316114.3,1.2281157378264678
ENSG00000184860|ENSG00000184860.10|ENSP00000332407|ENSP00000332407.4,1.0403952982485147
ENSG00000169660|ENSG00000169660.17|ENSP00000332634|ENSP00000332634.9,1.1549933888143662
ENSG00000173918|ENSG00000173918.15|ENSP00000340864|ENSP00000340864.2,1.3509699579690164
ENSG00000185379|ENSG00000185379.21|ENSP00000338790|ENSP00000338790.6,1.0773424547578263
ENSG00000131914|ENSG00000131914.11|ENSP00000363314|ENSP00000363314.3,1.258255698736523
ENSG00000154027|ENSG00000154027.19|ENSP00000341430|ENSP00000341430.5,1.041496273443204
ENSG00000165240|ENSG00000165240.22|ENSP00000345728|ENSP00000345728.6,1.0305789976264388
ENSG00000169598|ENSG00000169598.17|ENSP00000339524|ENSP00000339524.4,1.1877350901672101
ENSG00000179958|ENSG00000179958.10|ENSP00000322524|ENSP00000322524.4,1.0843512109177769
ENSG00000125633|ENSG00000125633.11|ENSP00000324135|ENSP00000324135.5,1.0345795289766886
ENSG00000176894|ENSG00000176894.10|ENSP00000321271|ENSP00000321271.3,1.3184410477397834
ENSG00000175899|ENSG00000175899.15|ENSP00000323929|ENSP00000323929.8,1.0038636745565352
ENSG00000112182|ENSG00000112182.16|ENSP00000345642|ENSP00000345642.3,1.0475008165842532
ENSG00000128951|ENSG00000128951.14|ENSP00000370376|ENSP00000370376.2,1.0028109247110448
ENSG00000155657|ENSG00000155657.29|ENSP00000340554|ENSP00000340554.6,1.0290082995925827
ENSG00000184954|ENSG00000184954.4|ENSP00000329153|ENSP00000329153.4,1.0603650206348603
ENSG00000138303|ENSG00000138303.19|ENSP00000339404|ENSP00000339404.4,1.0869862456228938
ENSG00000112303|ENSG00000112303.14|ENSP00000322276|ENSP00000322276.6,1.0441696509474558
ENSG00000131196|ENSG00000131196.18|ENSP00000327850|ENSP00000327850.3,1.1299377780553075
ENSG00000158423|ENSG00000158423.17|ENSP00000332142|ENSP00000332142.5,1.224941956970985
ENSG00000163291|ENSG00000163291.14|ENSP00000344203|ENSP00000344203.6,1.0493424128503515
ENSG00000180776|ENSG00000180776.17|ENSP00000313583|ENSP00000313583.9,1.1192217052471025
ENSG00000213967|ENSG00000213967.12|ENSP00000334762|ENSP00000334762.5,1.3168448496859988
ENSG00000184486|ENSG00000184486.10|ENSP00000329170|ENSP00000329170.5,1.3540799314572054
ENSG00000189401|ENSG00000189401.3|ENSP00000339389|ENSP00000339389.2,1.4930665318882865
ENSG00000145824|ENSG00000145824.13|ENSP00000337065|ENSP00000337065.5,1.7329150161849731
ENSG00000074527|ENSG00000074527.13|ENSP00000340998|ENSP00000340998.4,1.0744839625942233
ENSG00000168930|ENSG00000168930.13|ENSP00000327604|ENSP00000327604.1,1.1093274590560158
ENSG00000125812|ENSG00000125812.16|ENSP00000338290|ENSP00000338290.5,1.069504885370818
ENSG00000182362|ENSG00000182362.14|ENSP00000329614|ENSP00000329614.3,1.2213536104781029
ENSG00000183486|ENSG00000183486.14|ENSP00000333657|ENSP00000333657.3,1.1022430438041098
ENSG00000187808|ENSG00000187808.5|ENSP00000340975|ENSP00000340975.3,1.2054195872409401
ENSG00000095383|ENSG00000095383.20|ENSP00000341567|ENSP00000341567.5,1.2985744376526247
ENSG00000022556|ENSG00000022556.16|ENSP00000344074|ENSP00000344074.7,1.0408955550018661
ENSG00000187823|ENSG00000187823.4|ENSP00000340590|ENSP00000340590.2,1.0871427067760289
ENSG00000186136|ENSG00000186136.1|ENSP00000334050|ENSP00000334050.1,1.0654734078944619
ENSG00000179930|ENSG00000179930.6|ENSP00000344129|ENSP00000344129.3,1.1285208315983426
ENSG00000174876|ENSG00000174876.17|ENSP00000330484|ENSP00000330484.5,1.1895919194734028
ENSG00000148600|ENSG00000148600.15|ENSP00000331063|ENSP00000331063.3,1.1043236285176732
ENSG00000135702|ENSG00000135702.15|ENSP00000338783|ENSP00000338783.3,1.4034094503328507
ENSG00000162642|ENSG00000162642.14|ENSP00000345092|ENSP00000345092.5,1.207228674092199
ENSG00000181392|ENSG00000181392.17|ENSP00000316130|ENSP00000316130.3,1.0543986807964447
ENSG00000221890|ENSG00000221890.7|ENSP00000327545|ENSP00000327545.3,1.3158984382495553
ENSG00000179919|ENSG00000179919.3|ENSP00000326718|ENSP00000326718.1,1.121941919514466
ENSG00000164466|ENSG00000164466.13|ENSP00000316905|ENSP00000316905.5,1.05311846996204
ENSG00000100083|ENSG00000100083.20|ENSP00000321288|ENSP00000321288.8,1.2590406193791883
ENSG00000139624|ENSG00000139624.14|ENSP00000325485|ENSP00000325485.6,1.0729462053647805
ENSG00000187778|ENSG00000187778.14|ENSP00000345358|ENSP00000345358.4,1.1844438201929974
ENSG00000164542|ENSG00000164542.13|ENSP00000344805|ENSP00000344805.5,0.99901396142415
ENSG00000103253|ENSG00000103253.19|ENSP00000341952|ENSP00000341952.4,1.3207491738610186
ENSG00000175931|ENSG00000175931.13|ENSP00000323687|ENSP00000323687.6,1.1548880969820854
ENSG00000176148|ENSG00000176148.16|ENSP00000335595|ENSP00000335595.4,1.0343033714304308
ENSG00000058404|ENSG00000058404.21|ENSP00000326544|ENSP00000326544.6,1.2829063379458567
ENSG00000115211|ENSG00000115211.17|ENSP00000233552|ENSP00000233552.6,0.9905149952643768
ENSG00000188051|ENSG00000188051.7|ENSP00000342162|ENSP00000342162.5,1.1095304708691904
ENSG00000082805|ENSG00000082805.21|ENSP00000340054|ENSP00000340054.6,1.0469050060468774
ENSG00000132000|ENSG00000132000.14|ENSP00000345175|ENSP00000345175.5,1.2177826659907498
ENSG00000107829|ENSG00000107829.15|ENSP00000359149|ENSP00000359149.3,1.0652630028432102
ENSG00000186919|ENSG00000186919.13|ENSP00000334854|ENSP00000334854.5,1.168424766719565
ENSG00000180900|ENSG00000180900.20|ENSP00000322938|ENSP00000322938.3,1.1546182214372738
ENSG00000151304|ENSG00000151304.6|ENSP00000341324|ENSP00000341324.4,1.1285715061413348
ENSG00000179364|ENSG00000179364.15|ENSP00000321834|ENSP00000321834.8,1.2902251565720877
ENSG00000189134|ENSG00000189134.4|ENSP00000345716|ENSP00000345716.3,0.9795352684475391
ENSG00000164347|ENSG00000164347.18|ENSP00000296804|ENSP00000296804.3,1.040574474434734
ENSG00000111802|ENSG00000111802.14|ENSP00000345345|ENSP00000345345.3,1.141483069898847
ENSG00000249481|ENSG00000249481.7|ENSP00000437552|ENSP00000437552.1,1.077357497173542
ENSG00000251369|ENSG00000251369.10|ENSP00000445978|ENSP00000445978.2,1.1428393044529517
ENSG00000135749|ENSG00000135749.20|ENSP00000340759|ENSP00000340759.2,1.0407610986814475
ENSG00000109576|ENSG00000109576.14|ENSP00000336808|ENSP00000336808.4,1.0660844863035834
ENSG00000079263|ENSG00000079263.19|ENSP00000342096|ENSP00000342096.6,1.0876423631386676
ENSG00000053524|ENSG00000053524.13|ENSP00000328118|ENSP00000328118.3,1.0065034476568377
ENSG00000184271|ENSG00000184271.18|ENSP00000330190|ENSP00000330190.11,1.0381835997611615
ENSG00000097096|ENSG00000097096.10|ENSP00000340594|ENSP00000340594.5,0.98582829254957
ENSG00000162813|ENSG00000162813.18|ENSP00000318852|ENSP00000318852.7,1.1186829283598154
ENSG00000189334|ENSG00000189334.9|ENSP00000340463|ENSP00000340463.2,1.4071678763677786
ENSG00000167645|ENSG00000167645.17|ENSP00000337411|ENSP00000337411.7,1.1310760994374724
ENSG00000125351|ENSG00000125351.14|ENSP00000245418|ENSP00000245418.2,1.119633701821389
ENSG00000080839|ENSG00000080839.12|ENSP00000343646|ENSP00000343646.3,1.0473874610908214
ENSG00000029534|ENSG00000029534.22|ENSP00000335031|ENSP00000335031.6,1.604716997889618
ENSG00000154001|ENSG00000154001.14|ENSP00000337641|ENSP00000337641.3,1.0569884003862704
ENSG00000140365|ENSG00000140365.16|ENSP00000340867|ENSP00000340867.6,1.2912123614914615
ENSG00000164403|ENSG00000164403.15|ENSP00000324245|ENSP00000324245.3,0.9665280155758958
ENSG00000186207|ENSG00000186207.5|ENSP00000333952|ENSP00000333952.2,1.2682588089345632
ENSG00000185198|ENSG00000185198.12|ENSP00000327386|ENSP00000327386.6,1.3097164561381205
ENSG00000008226|ENSG00000008226.20|ENSP00000315914|ENSP00000315914.5,1.052239943318714
ENSG00000188778|ENSG00000188778.6|ENSP00000343782|ENSP00000343782.3,1.181978758531674
ENSG00000125823|ENSG00000125823.13|ENSP00000344907|ENSP00000344907.1,1.3939321825928863
ENSG00000112782|ENSG00000112782.19|ENSP00000344165|ENSP00000344165.6,1.2107750438720875
ENSG00000183134|ENSG00000183134.5|ENSP00000332812|ENSP00000332812.4,1.4496484471893538
ENSG00000144115|ENSG00000144115.18|ENSP00000339563|ENSP00000339563.4,1.1229089796292981
ENSG00000176714|ENSG00000176714.10|ENSP00000339087|ENSP00000339087.2,1.0966340153735843
ENSG00000179674|ENSG00000179674.4|ENSP00000323847|ENSP00000323847.2,1.166235515478079
ENSG00000138835|ENSG00000138835.24|ENSP00000343359|ENSP00000343359.5,1.3855571686700445
ENSG00000166900|ENSG00000166900.17|ENSP00000338562|ENSP00000338562.4,1.1367478676071572
ENSG00000143924|ENSG00000143924.19|ENSP00000320663|ENSP00000320663.5,1.0307508795052467
ENSG00000183307|ENSG00000183307.4|ENSP00000329318|ENSP00000329318.3,1.2912058139875195
ENSG00000138303|ENSG00000138303.19|ENSP00000320461|ENSP00000320461.4,1.1229161418653113
ENSG00000167792|ENSG00000167792.13|ENSP00000322450|ENSP00000322450.6,1.20879343634661
ENSG00000112210|ENSG00000112210.12|ENSP00000320413|ENSP00000320413.3,1.1435898259565522
ENSG00000180957|ENSG00000180957.19|ENSP00000334738|ENSP00000334738.5,1.1621367731631547
ENSG00000183826|ENSG00000183826.19|ENSP00000328328|ENSP00000328328.6,1.0625179441849057
ENSG00000175193|ENSG00000175193.14|ENSP00000325421|ENSP00000325421.5,1.0159203790233609
ENSG00000115414|ENSG00000115414.21|ENSP00000323534|ENSP00000323534.6,0.9949243977936361
ENSG00000188403|ENSG00000188403.7|ENSP00000474639|ENSP00000474639.1,1.3344096335735456
ENSG00000137313|ENSG00000137313.15|ENSP00000331131|ENSP00000331131.5,1.231840503252493
ENSG00000185482|ENSG00000185482.8|ENSP00000329200|ENSP00000329200.2,1.231655686932996
ENSG00000113303|ENSG00000113303.12|ENSP00000342197|ENSP00000342197.4,1.0587570201008065
ENSG00000084072|ENSG00000084072.17|ENSP00000312769|ENSP00000312769.5,1.1786407334822908
ENSG00000188112|ENSG00000188112.10|ENSP00000341368|ENSP00000341368.4,0.9787840666576499
ENSG00000188529|ENSG00000188529.15|ENSP00000344149|ENSP00000344149.4,1.0124586716226711
ENSG00000167733|ENSG00000167733.14|ENSP00000340436|ENSP00000340436.2,1.3002820797517887
ENSG00000183379|ENSG00000183379.9|ENSP00000331474|ENSP00000331474.3,1.2381291317258263
ENSG00000182173|ENSG00000182173.14|ENSP00000327487|ENSP00000327487.6,1.1867888984713024
ENSG00000259384|ENSG00000259384.7|ENSP00000339278|ENSP00000339278.4,1.3544119223481217
ENSG00000165568|ENSG00000165568.18|ENSP00000335603|ENSP00000335603.5,1.1742700758684903
ENSG00000244687|ENSG00000244687.13|ENSP00000340305|ENSP00000340305.3,1.296753814132794
ENSG00000169247|ENSG00000169247.14|ENSP00000313025|ENSP00000313025.5,1.1607740137790705
ENSG00000185261|ENSG00000185261.16|ENSP00000331385|ENSP00000331385.6,1.1920281928333771
ENSG00000125354|ENSG00000125354.24|ENSP00000341524|ENSP00000341524.5,1.176275153581961
ENSG00000159708|ENSG00000159708.18|ENSP00000329943|ENSP00000329943.6,0.9546930864295541
ENSG00000100036|ENSG00000100036.13|ENSP00000339626|ENSP00000339626.4,1.1060437203205196
ENSG00000101310|ENSG00000101310.17|ENSP00000338844|ENSP00000338844.3,1.0359093880533967
ENSG00000135299|ENSG00000135299.18|ENSP00000345767|ENSP00000345767.4,0.9904778497538997
ENSG00000020922|ENSG00000020922.13|ENSP00000325863|ENSP00000325863.4,1.0996089985295678
ENSG00000109654|ENSG00000109654.16|ENSP00000339659|ENSP00000339659.5,1.0668974425660818
ENSG00000136696|ENSG00000136696.11|ENSP00000328420|ENSP00000328420.2,1.1821839960377523
ENSG00000046647|ENSG00000046647.15|ENSP00000369894|ENSP00000369894.2,1.149699549627224
ENSG00000109184|ENSG00000109184.15|ENSP00000334625|ENSP00000334625.5,1.1770294470854088
ENSG00000184611|ENSG00000184611.14|ENSP00000331727|ENSP00000331727.5,1.0091442530115255
ENSG00000100219|ENSG00000100219.17|ENSP00000343155|ENSP00000343155.5,0.948666188636092
ENSG00000128298|ENSG00000128298.18|ENSP00000328876|ENSP00000328876.7,1.1796436724287962
ENSG00000243772|ENSG00000243772.8|ENSP00000342215|ENSP00000342215.3,1.0672201142222306
ENSG00000142046|ENSG00000142046.15|ENSP00000345589|ENSP00000345589.5,1.1722297952191303
ENSG00000178187|ENSG00000178187.8|ENSP00000326249|ENSP00000326249.3,1.2362676124598306
ENSG00000187569|ENSG00000187569.3|ENSP00000339250|ENSP00000339250.2,1.1121454375076378
ENSG00000113231|ENSG00000113231.14|ENSP00000331336|ENSP00000331336.4,1.026529135858796
ENSG00000165583|ENSG00000165583.16|ENSP00000290558|ENSP00000290558.1,1.2533585522650663
ENSG00000184155|ENSG00000184155.8|ENSP00000334441|ENSP00000334441.2,1.04386215727071
ENSG00000179832|ENSG00000179832.18|ENSP00000321737|ENSP00000321737.5,1.2469226057887866
ENSG00000178741|ENSG00000178741.12|ENSP00000317780|ENSP00000317780.6,1.12252329190021
ENSG00000115524|ENSG00000115524.17|ENSP00000335321|ENSP00000335321.6,1.0982918342030732
ENSG00000101353|ENSG00000101353.16|ENSP00000513568|ENSP00000513568.1,0.9696496326795719
ENSG00000080815|ENSG00000080815.20|ENSP00000326366|ENSP00000326366.5,1.0169449958766117
ENSG00000114805|ENSG00000114805.18|ENSP00000345988|ENSP00000345988.7,1.0076830007550706
ENSG00000125510|ENSG00000125510.18|ENSP00000336843|ENSP00000336843.2,1.3062401268111525
ENSG00000183054|ENSG00000183054.13|ENSP00000330023|ENSP00000330023.5,1.065156544158016
ENSG00000187821|ENSG00000187821.9|ENSP00000343464|ENSP00000343464.4,1.1441347913314468
ENSG00000181220|ENSG00000181220.18|ENSP00000345140|ENSP00000345140.3,1.1454082328786481
ENSG00000159840|ENSG00000159840.16|ENSP00000324422|ENSP00000324422.5,1.131971242185787
ENSG00000104313|ENSG00000104313.20|ENSP00000342626|ENSP00000342626.3,0.9856421699227829
ENSG00000138032|ENSG00000138032.21|ENSP00000326089|ENSP00000326089.4,1.1045280584850006
ENSG00000120889|ENSG00000120889.13|ENSP00000317859|ENSP00000317859.3,1.026761166076321
ENSG00000055950|ENSG00000055950.17|ENSP00000315364|ENSP00000315364.2,1.1278878827900491
ENSG00000189056|ENSG00000189056.15|ENSP00000345694|ENSP00000345694.5,1.0172328108702664
ENSG00000099968|ENSG00000099968.19|ENSP00000338932|ENSP00000338932.6,1.204313969789222
ENSG00000176842|ENSG00000176842.16|ENSP00000316250|ENSP00000316250.5,1.1478485737253241
ENSG00000179008|ENSG00000179008.9|ENSP00000324920|ENSP00000324920.3,1.2976338272294503
ENSG00000121766|ENSG00000121766.16|ENSP00000343557|ENSP00000343557.5,1.21664441163101
ENSG00000181513|ENSG00000181513.15|ENSP00000314440|ENSP00000314440.8,1.2678251699382148
ENSG00000008952|ENSG00000008952.17|ENSP00000337688|ENSP00000337688.4,1.175620154122668
ENSG00000162897|ENSG00000162897.16|ENSP00000316491|ENSP00000316491.4,1.0270954412609263
ENSG00000256660|ENSG00000256660.7|ENSP00000344563|ENSP00000344563.5,1.1544451603426176
ENSG00000180938|ENSG00000180938.6|ENSP00000319305|ENSP00000319305.5,1.172110533922254
ENSG00000183763|ENSG00000183763.9|ENSP00000328203|ENSP00000328203.2,1.1345537162061807
ENSG00000180815|ENSG00000180815.15|ENSP00000345629|ENSP00000345629.4,1.0034394813903322
ENSG00000168056|ENSG00000168056.18|ENSP00000326647|ENSP00000326647.4,1.2671785889819296
ENSG00000149532|ENSG00000149532.16|ENSP00000345412|ENSP00000345412.4,0.9533493064982674
ENSG00000135047|ENSG00000135047.16|ENSP00000345344|ENSP00000345344.5,1.2388453342415762
ENSG00000183087|ENSG00000183087.15|ENSP00000331831|ENSP00000331831.6,1.2507830049595785
ENSG00000188803|ENSG00000188803.15|ENSP00000477331|ENSP00000477331.1,1.2036135409166315
ENSG00000196159|ENSG00000196159.14|ENSP00000335169|ENSP00000335169.5,0.9903851349124648
ENSG00000180914|ENSG00000180914.11|ENSP00000324270|ENSP00000324270.2,1.45823472161981
ENSG00000176058|ENSG00000176058.13|ENSP00000327617|ENSP00000327617.4,1.1324697524640226
ENSG00000197050|ENSG00000197050.11|ENSP00000338770|ENSP00000338770.2,1.2844782657222942
ENSG00000084112|ENSG00000084112.15|ENSP00000315713|ENSP00000315713.5,1.026155004596199
ENSG00000120088|ENSG00000120088.16|ENSP00000239167|ENSP00000239167.7,1.3976424486013825
ENSG00000104205|ENSG00000104205.16|ENSP00000331816|ENSP00000331816.5,1.1331586841152068
ENSG00000170298|ENSG00000170298.16|ENSP00000315564|ENSP00000315564.5,1.238823891336128
ENSG00000167641|ENSG00000167641.11|ENSP00000301243|ENSP00000301243.3,1.478849274080723
ENSG00000168952|ENSG00000168952.16|ENSP00000324302|ENSP00000324302.5,1.1162295138854632
ENSG00000101084|ENSG00000101084.19|ENSP00000340164|ENSP00000340164.3,1.2667028099451165
ENSG00000168010|ENSG00000168010.11|ENSP00000326340|ENSP00000326340.5,1.169868413657391
ENSG00000135424|ENSG00000135424.19|ENSP00000343009|ENSP00000343009.6,1.10460732465556
ENSG00000178904|ENSG00000178904.19|ENSP00000344937|ENSP00000344937.4,1.0374191983104475
ENSG00000177494|ENSG00000177494.6|ENSP00000321370|ENSP00000321370.4,1.2911049172599915
ENSG00000122779|ENSG00000122779.18|ENSP00000340507|ENSP00000340507.4,0.9860131732213712
ENSG00000171680|ENSG00000171680.23|ENSP00000344570|ENSP00000344570.5,1.197907107225722
ENSG00000091436|ENSG00000091436.17|ENSP00000340257|ENSP00000340257.3,1.1056768499247989
ENSG00000162129|ENSG00000162129.15|ENSP00000340385|ENSP00000340385.5,1.0790614986207099
ENSG00000077463|ENSG00000077463.15|ENSP00000337332|ENSP00000337332.1,1.3563519367220283
ENSG00000127084|ENSG00000127084.19|ENSP00000336914|ENSP00000336914.6,1.1954564515107131
ENSG00000180613|ENSG00000180613.11|ENSP00000319118|ENSP00000319118.2,1.171102732989278
ENSG00000099904|ENSG00000099904.16|ENSP00000317804|ENSP00000317804.7,1.0762782753501747
ENSG00000175416|ENSG00000175416.16|ENSP00000310812|ENSP00000310812.4,1.2765688357963239
ENSG00000185475|ENSG00000185475.11|ENSP00000333697|ENSP00000333697.3,1.0105412325456766
ENSG00000108107|ENSG00000108107.15|ENSP00000342787|ENSP00000342787.3,1.4197194625200271
ENSG00000156642|ENSG00000156642.17|ENSP00000290401|ENSP00000290401.4,1.0909936576125858
ENSG00000183762|ENSG00000183762.13|ENSP00000331242|ENSP00000331242.5,1.034963750770758
ENSG00000072182|ENSG00000072182.14|ENSP00000326627|ENSP00000326627.4,1.1690953977036778
ENSG00000178257|ENSG00000178257.4|ENSP00000325638|ENSP00000325638.2,1.596255747252422
ENSG00000188229|ENSG00000188229.6|ENSP00000341289|ENSP00000341289.4,1.3816703176849032
ENSG00000198315|ENSG00000198315.11|ENSP00000332750|ENSP00000332750.5,1.0899972160796874
ENSG00000042088|ENSG00000042088.14|ENSP00000337353|ENSP00000337353.4,1.0644505407879281
ENSG00000102893|ENSG00000102893.18|ENSP00000313504|ENSP00000313504.5,1.0216197831564937
ENSG00000157985|ENSG00000157985.20|ENSP00000338378|ENSP00000338378.5,1.1149091327059735
ENSG00000177459|ENSG00000177459.11|ENSP00000315614|ENSP00000315614.3,1.113436505953432
ENSG00000105609|ENSG00000105609.17|ENSP00000263430|ENSP00000263430.8,1.1297189623768182
ENSG00000182872|ENSG00000182872.16|ENSP00000329659|ENSP00000329659.6,1.1316105934197012
ENSG00000077782|ENSG00000077782.23|ENSP00000337247|ENSP00000337247.5,1.169882336647975
ENSG00000182518|ENSG00000182518.14|ENSP00000333394|ENSP00000333394.4,1.30750292437432
ENSG00000114030|ENSG00000114030.13|ENSP00000343701|ENSP00000343701.6,1.087705921355139
ENSG00000125409|ENSG00000125409.13|ENSP00000343995|ENSP00000343995.2,1.0430835934599527
ENSG00000183072|ENSG00000183072.10|ENSP00000327758|ENSP00000327758.4,1.2223956189301055
ENSG00000197446|ENSG00000197446.9|ENSP00000333534|ENSP00000333534.2,1.1726999479845661
ENSG00000181938|ENSG00000181938.14|ENSP00000318196|ENSP00000318196.6,1.1321882979723374
ENSG00000158163|ENSG00000158163.15|ENSP00000332148|ENSP00000332148.2,1.1056684218674617
ENSG00000113328|ENSG00000113328.21|ENSP00000344635|ENSP00000344635.2,1.1092342535102862
ENSG00000186510|ENSG00000186510.12|ENSP00000332771|ENSP00000332771.4,1.1929279508753723
ENSG00000162572|ENSG00000162572.21|ENSP00000339504|ENSP00000339504.2,1.2156537607409243
ENSG00000176845|ENSG00000176845.13|ENSP00000315731|ENSP00000315731.6,1.2379071527348202
ENSG00000178188|ENSG00000178188.16|ENSP00000337163|ENSP00000337163.5,1.007501575066883
ENSG00000137100|ENSG00000137100.16|ENSP00000343986|ENSP00000343986.2,1.1709351321216608
ENSG00000172367|ENSG00000172367.16|ENSP00000327107|ENSP00000327107.4,1.0650321169377273
ENSG00000089057|ENSG00000089057.15|ENSP00000344322|ENSP00000344322.1,0.9946367308415381
ENSG00000186854|ENSG00000186854.11|ENSP00000335004|ENSP00000335004.5,1.0618822527639125
ENSG00000188133|ENSG00000188133.6|ENSP00000345468|ENSP00000345468.5,1.1583288039943085
ENSG00000039319|ENSG00000039319.17|ENSP00000337159|ENSP00000337159.5,1.1084299139976381
ENSG00000105778|ENSG00000105778.20|ENSP00000315568|ENSP00000315568.4,1.0102005572909267
ENSG00000185499|ENSG00000185499.17|ENSP00000339690|ENSP00000339690.5,1.0554416634944623
ENSG00000133612|ENSG00000133612.20|ENSP00000335589|ENSP00000335589.3,1.1814542266429369
ENSG00000022840|ENSG00000022840.17|ENSP00000322242|ENSP00000322242.4,1.0116376984936835
ENSG00000185522|ENSG00000185522.9|ENSP00000331167|ENSP00000331167.3,1.1984576835962935
ENSG00000182324|ENSG00000182324.7|ENSP00000341479|ENSP00000341479.1,1.2000736109146182
ENSG00000068383|ENSG00000068383.19|ENSP00000340707|ENSP00000340707.6,1.2053854063072276
ENSG00000159069|ENSG00000159069.14|ENSP00000313034|ENSP00000313034.3,1.462856997814281
ENSG00000188611|ENSG00000188611.17|ENSP00000329886|ENSP00000329886.6,1.0102505576149738
ENSG00000100311|ENSG00000100311.17|ENSP00000330382|ENSP00000330382.6,1.2457320712805953
ENSG00000101843|ENSG00000101843.19|ENSP00000345963|ENSP00000345963.5,1.1599046126878119
ENSG00000197565|ENSG00000197565.17|ENSP00000334733|ENSP00000334733.7,0.9223030972500316
ENSG00000187997|ENSG00000187997.12|ENSP00000343493|ENSP00000343493.4,1.2306140367606544
ENSG00000183655|ENSG00000183655.13|ENSP00000336800|ENSP00000336800.5,1.3287266745294317
ENSG00000058866|ENSG00000058866.15|ENSP00000339777|ENSP00000339777.4,1.1008744047020884
ENSG00000186104|ENSG00000186104.11|ENSP00000334592|ENSP00000334592.5,1.045083012865846
ENSG00000187566|ENSG00000187566.6|ENSP00000345464|ENSP00000345464.3,1.0672243764827747
ENSG00000116774|ENSG00000116774.12|ENSP00000322273|ENSP00000322273.4,1.096892036638375
ENSG00000173338|ENSG00000173338.13|ENSP00000343923|ENSP00000343923.4,1.1429172141011459
